주차장 이름,주변 주차장
종로플레이스 주차장,"하나손해보험빌딩 주차장: 116, 동순라길(종묘) 관광버스전용 주차장(시): 152, 청계3(창경궁로_북1) 공영주차장(시): 288, 종묘주차장 공영주차장(시): 346, 우리은행ATM 종로5가지점: 422, 청계3(북1) 공영주차장(시): 425, 청계5(동호로_북) 공영주차장(시): 430, 청계2(북2) 공영주차장(시): 443, 청계3(남) 공영주차장(시): 463, 홍익대학교 대학로캠퍼스: 482, 청계3(창경궁로_남) 공영주차장(시): 503, 청계3(동호로) 공영주차장(시): 508, 청계5(동호로_남) 공영주차장(시): 531, 세운대림상가(동측)(구): 565, 청계2(북1) 공영주차장(시): 573, 청계5(방산동) 공영주차장(시): 582, 세운대림상가(서측)(구): 594, 훈련원공원 공영주차장(시): 753"
종묘주차장 공영주차장(시),"동순라길(종묘) 관광버스전용 주차장(시): 231, 청계3(창경궁로_북1) 공영주차장(시): 238, 하나손해보험빌딩 주차장: 241, 청계2(북1) 공영주차장(시): 313, 종로플레이스 주차장: 346, 세운대림상가(동측)(구): 357, 세운대림상가(서측)(구): 359, 청계2(북2) 공영주차장(시): 360, 청계3(창경궁로_남) 공영주차장(시): 435, 청계3(북1) 공영주차장(시): 444, 청계3(남) 공영주차장(시): 504, 공유) 삼풍상가4구간(23~26)(구): 583, 공유) 삼풍상가3구간(02~12)(구): 599, 삼풍넥서스빌딩: 600, 을지트윈타워 주차장: 630"
청계3(창경궁로_북1) 공영주차장(시),"청계2(북2) 공영주차장(시): 166, 청계3(창경궁로_남) 공영주차장(시): 237, 종묘주차장 공영주차장(시): 238, 하나손해보험빌딩 주차장: 259, 세운대림상가(동측)(구): 279, 동순라길(종묘) 관광버스전용 주차장(시): 288, 종로플레이스 주차장: 288, 청계2(북1) 공영주차장(시): 303, 세운대림상가(서측)(구): 314, 청계3(북1) 공영주차장(시): 345, 청계3(남) 공영주차장(시): 369, 우리은행ATM 종로5가지점: 384, 청계5(동호로_북) 공영주차장(시): 422, 청계3(동호로) 공영주차장(시): 429, 청계5(동호로_남) 공영주차장(시): 455, 을지트윈타워 주차장: 478, 공유) 삼풍상가4구간(23~26)(구): 496, 공유) 삼풍상가3구간(02~12)(구): 498, 청계5(방산동) 공영주차장(시): 501, 삼풍넥서스빌딩: 505, 배오개길 공영주차장(시): 537, 공유) 삼풍상가4구간(18~21)(구): 610, 돈화문로 공영주차장(시): 669"
탑골공원 관광버스전용 주차장(시),"세종주차장(민영): 287, 관철동 공영주차장(시): 351, 종로타워 주차장: 359, 청계1(북) 공영주차장(시): 363, 센트로폴리스: 383, 시그니쳐타워 주차장: 427, 크리스탈스퀘어 주차장: 430, 미래에셋센터원 주차장: 490, 청계2(북1) 공영주차장(시): 574, DGB금융센터: 578, 동국제강 공영주차장(시): 586"
강일타워,강일동 주차장(구): 138
강일동 주차장(구),강일타워: 138
알에프텍사옥,일화고덕비즈밸리: 53
일화고덕비즈밸리,알에프텍사옥: 53
실로암사우나 중곡점 주차장,"중곡3동공영주차장(구): 121, 보건복지행정타운: 499"
서희스타힐스아파트,"한강훼미리아파트: 196, 장안1동 공영주차장(시): 298"
한강훼미리아파트,"장안1동 공영주차장(시): 138, 서희스타힐스아파트: 196"
평화빌딩 주차장,"용답동(건물) 공영주차장(구): 169, 공유) 20-13(구): 200, 공유) 20-11(구): 240, 공유) 20-33(구): 244, 용답제2(평면) 공영주차장(구): 260, 공유) 20-14(구): 356, 공유) 20-15(구): 423, 공유) 20-23(구): 502, 공유) 20-34(구): 556, 공유) 20-26(구): 559"
공유) 04-15(구),"공유) 04-18(구): 78, 공유) 04-55(구): 111, 공유) 04-17(구): 144, 공유) 04-50(구): 171, 공유) 04-14(구): 211, 공유) 04-16(구): 220, 공유) 04-19(구): 234, 공유) 20-21(구): 355, 공유) 04-12(구): 429, 공유) 05-09(구): 469, 마장축산물시장(건물) 공영주차장(구): 496, 공유) 04-49(구): 506, 공유) 04-20(구): 540, 마장축산물시장 서문(건물) 공영주차장(구): 542, 공유) 04-22(구): 693"
공유) 04-18(구),"공유) 04-15(구): 78, 공유) 04-50(구): 95, 공유) 04-55(구): 127, 공유) 04-17(구): 130, 공유) 04-19(구): 224, 공유) 04-14(구): 246, 공유) 04-16(구): 264, 공유) 20-21(구): 285, 공유) 05-09(구): 412, 공유) 04-20(구): 554, 공유) 04-49(구): 554, 마장축산물시장(건물) 공영주차장(구): 561, 공유) 20-23(구): 605, 공유) 04-22(구): 683"
공유) 04-19(구),"공유) 04-55(구): 125, 공유) 04-14(구): 135, 공유) 04-50(구): 218, 공유) 04-18(구): 224, 공유) 04-15(구): 234, 공유) 05-09(구): 301, 공유) 04-20(구): 339, 공유) 04-17(구): 353, 공유) 04-49(구): 404, 공유) 20-21(구): 446, 공유) 04-16(구): 452, 공유) 04-12(구): 541, 공유) 04-22(구): 564, 마장축산물시장(건물) 공영주차장(구): 698, 공유) 05-08(구): 733"
공유) 04-50(구),"공유) 04-18(구): 95, 공유) 04-15(구): 171, 공유) 04-55(구): 173, 공유) 04-17(구): 190, 공유) 04-19(구): 218, 공유) 20-21(구): 231, 공유) 04-14(구): 289, 공유) 05-09(구): 332, 공유) 04-16(구): 350, 공유) 20-23(구): 512, 공유) 04-20(구): 557, 공유) 04-49(구): 566"
공유) 04-55(구),"공유) 04-50(구): 109, 공유) 04-19(구): 150, 공유) 04-18(구): 177, 공유) 04-55(구): 178, 공유) 04-15(구): 235, 공유) 05-09(구): 235, 공유) 04-14(구): 263, 공유) 04-17(구): 295, 공유) 20-21(구): 308, 공유) 04-16(구): 442, 공유) 20-23(구): 443, 공유) 04-20(구): 473, 공유) 04-49(구): 519"
공유) 05-09(구),"공유) 20-23(구): 242, 공유) 04-19(구): 301, 공유) 04-50(구): 332, 공유) 04-55(구): 394, 공유) 04-18(구): 412, 공유) 04-14(구): 436, 공유) 20-21(구): 442, 공유) 04-15(구): 469, 공유) 04-20(구): 484, 공유) 05-08(구): 504, 공유) 04-17(구): 522, 공유) 20-26(구): 560, 공유) 05-10(구): 563, 공유) 04-16(구): 677"
공유) 20-21(구),"공유) 04-50(구): 231, 공유) 04-17(구): 261, 공유) 04-18(구): 285, 공유) 04-15(구): 355, 공유) 04-55(구): 400, 공유) 04-16(구): 429, 공유) 05-09(구): 442, 공유) 04-19(구): 446, 공유) 04-14(구): 519, 공유) 20-23(구): 521"
공유) 04-12(구),"마장축산물시장 서문(건물) 공영주차장(구): 189, 공유) 04-23(구): 273, 마장축산물시장(건물) 공영주차장(구): 305, 마장동(건물) 공영주차장(구): 362, 공유) 04-03(구): 376, 공유) 04-16(구): 389, 공유) 04-14(구): 410, 공유) 06-22(구): 410, 공유) 04-24(구): 427, 공유) 04-15(구): 429, 공유) 04-49(구): 429, 공유) 04-04(구): 434, 공유) 04-55(구): 454, 공유) 04-02(구): 464, 공유) 04-01(구): 488, 공유) 03-15(구): 498, 공유) 04-19(구): 541, 공유) 03-06(구): 548, 공유) 03-20(구): 574, 공유) 04-22(구): 587, 공유) 04-18(구): 597, 공유) 04-20(구): 641"
공유) 04-14(구),"공유) 04-55(구): 120, 공유) 04-19(구): 135, 공유) 04-15(구): 211, 공유) 04-18(구): 246, 공유) 04-50(구): 289, 공유) 04-49(구): 310, 공유) 04-20(구): 335, 공유) 04-17(구): 355, 공유) 04-16(구): 399, 공유) 04-12(구): 410, 공유) 05-09(구): 436, 공유) 06-22(구): 489, 공유) 04-22(구): 490, 공유) 20-21(구): 519, 마장축산물시장 서문(건물) 공영주차장(구): 577, 마장축산물시장(건물) 공영주차장(구): 597, 왕십리 민자역사 비트플렉스몰 : 662"
공유) 04-49(구),"공유) 04-22(구): 190, 공유) 06-22(구): 217, 공유) 04-20(구): 255, 공유) 04-14(구): 310, 왕십리 민자역사 비트플렉스몰 : 372, 공유) 03-20(구): 389, 공유) 04-19(구): 404, 공유) 04-12(구): 429, 공유) 04-55(구): 430, 공유) 03-06(구): 450, 공유) 04-15(구): 506, 공유) 04-24(구): 551, 공유) 04-18(구): 554, 공유) 05-05(구): 568, 공유) 04-23(구): 592, 마장축산물시장 서문(건물) 공영주차장(구): 617, 공유) 04-16(구): 641, 공유) 04-17(구): 650, 공유) 06-05(구): 658, 마장동(건물) 공영주차장(구): 682"
공유) 03-01(구),"공유) 03-01(구): 38, 공유) 03-10(구): 128, 공유) 04-01(구): 173, 공유) 04-24(구): 179, 공유) 03-15(구): 185, 공유) 03-14(구): 243, 공유) 03-06(구): 280, 도선동(지하) 공영주차장(구): 284, 마장동(건물) 공영주차장(구): 313, 공유) 04-02(구): 334, 공유) 03-07(구): 335, 공유) 04-23(구): 345, 공유) 04-04(구): 413, 공유) 03-20(구): 468, 청계8가(북) 공영주차장(시): 474, 공유) 04-12(구): 488, 공유) 04-03(구): 521, 공유) 06-22(구): 521, 청계8가(남) 공영주차장(시): 553, 경진주차장: 604"
공유) 03-06(구),"공유) 03-20(구): 106, 공유) 03-07(구): 145, 공유) 03-15(구): 184, 공유) 06-22(구): 235, 공유) 04-24(구): 255, 도선동(지하) 공영주차장(구): 271, 공유) 03-06(구): 306, 공유) 03-14(구): 330, 경진주차장: 345, 공유) 03-01(구): 389, 공유) 04-22(구): 398, 공유) 03-10(구): 419, 공유) 02-08(구): 434, 공유) 04-49(구): 450, 왕십리 민자역사 비트플렉스몰 : 453, 공유) 04-23(구): 474, 공유) 06-05(구): 484, 공유) 04-01(구): 513, 마장동(건물) 공영주차장(구): 516, 공유) 04-12(구): 548, 공유) 04-02(구): 601, 공유) 04-04(구): 614, 공유) 02-07(구): 626, 마장축산물시장 서문(건물) 공영주차장(구): 657, 청계8가(남) 공영주차장(시): 685, 공유) 05-05(구): 715, 청계8가(북) 공영주차장(시): 731, 공유) 02-10(구): 752"
공유) 03-07(구),"도선동(지하) 공영주차장(구): 138, 공유) 03-06(구): 174, 공유) 03-14(구): 211, 공유) 03-15(구): 213, 공유) 03-20(구): 215, 경진주차장: 274, 공유) 04-24(구): 305, 공유) 02-08(구): 337, 공유) 03-10(구): 346, 공유) 03-01(구): 349, 공유) 06-22(구): 380, 공유) 04-49(구): 471, 공유) 06-05(구): 473, 공유) 04-01(구): 506, 공유) 02-07(구): 527, 왕십리 민자역사 비트플렉스몰 : 536, 공유) 04-23(구): 550, 마장동(건물) 공영주차장(구): 570, 공유) 04-12(구): 614, 공유) 04-02(구): 621, 공유) 02-10(구): 653, 공유) 02-06(구): 678, 하왕십리(건물) 공영주차장(구): 698, 청계8가(남) 공영주차장(시): 734, 청계8가(북) 공영주차장(시): 746, 마장축산물시장 서문(건물) 공영주차장(구): 757"
공유) 03-15(구),"공유) 04-24(구): 92, 공유) 03-07(구): 213, 공유) 03-01(구): 217, 도선동(지하) 공영주차장(구): 248, 공유) 03-14(구): 262, 공유) 03-06(구): 268, 공유) 03-10(구): 272, 공유) 03-20(구): 288, 공유) 04-01(구): 328, 공유) 04-23(구): 339, 공유) 06-22(구): 341, 마장동(건물) 공영주차장(구): 358, 공유) 04-02(구): 429, 경진주차장: 483, 공유) 04-04(구): 489, 공유) 04-12(구): 498, 공유) 04-49(구): 528, 공유) 02-08(구): 550, 공유) 04-22(구): 552, 마장축산물시장 서문(건물) 공영주차장(구): 556, 공유) 04-03(구): 565, 청계8가(남) 공영주차장(시): 597, 왕십리 민자역사 비트플렉스몰 : 632, 청계8가(북) 공영주차장(시): 639"
공유) 04-24(구),"공유) 04-24(구): 40, 공유) 03-15(구): 58, 공유) 03-01(구): 195, 공유) 03-10(구): 267, 공유) 03-07(구): 270, 공유) 04-01(구): 280, 공유) 04-23(구): 285, 도선동(지하) 공영주차장(구): 292, 공유) 03-14(구): 294, 마장동(건물) 공영주차장(구): 299, 공유) 03-06(구): 308, 공유) 03-20(구): 337, 공유) 06-22(구): 364, 공유) 04-02(구): 370, 공유) 04-04(구): 430, 공유) 04-12(구): 465, 공유) 04-03(구): 508, 마장축산물시장 서문(건물) 공영주차장(구): 508, 경진주차장: 542, 공유) 04-49(구): 544, 청계8가(남) 공영주차장(시): 562, 공유) 04-22(구): 585, 청계8가(북) 공영주차장(시): 601, 공유) 02-08(구): 608, 왕십리 민자역사 비트플렉스몰 : 676"
공유) 06-22(구),"공유) 03-20(구): 196, 공유) 04-49(구): 217, 공유) 04-22(구): 232, 공유) 03-06(구): 235, 공유) 03-15(구): 341, 공유) 04-24(구): 355, 왕십리 민자역사 비트플렉스몰 : 372, 공유) 03-07(구): 380, 공유) 04-12(구): 410, 공유) 04-20(구): 459, 공유) 04-23(구): 465, 공유) 03-14(구): 487, 공유) 04-14(구): 489, 경진주차장: 513, 공유) 04-55(구): 536, 공유) 02-08(구): 538, 마장동(건물) 공영주차장(구): 541, 공유) 03-01(구): 556, 공유) 06-05(구): 559, 마장축산물시장 서문(건물) 공영주차장(구): 569, 공유) 05-05(구): 627, 공유) 04-01(구): 628, 공유) 04-02(구): 649, 공유) 04-04(구): 665, 청계8가(남) 공영주차장(시): 665"
공유) 03-10(구),"공유) 03-01(구): 95, 공유) 03-14(구): 176, 공유) 03-06(구): 226, 도선동(지하) 공영주차장(구): 245, 공유) 04-01(구): 247, 공유) 03-15(구): 272, 공유) 04-24(구): 296, 공유) 03-07(구): 346, 마장동(건물) 공영주차장(구): 432, 공유) 04-02(구): 433, 공유) 04-23(구): 472, 공유) 04-04(구): 516, 공유) 03-20(구): 524, 청계8가(남) 공영주차장(시): 563, 경진주차장: 588, 공유) 02-08(구): 610, 공유) 04-03(구): 633, 청계8가(북) 공영주차장(시): 637"
공유) 03-14(구),"공유) 03-06(구): 50, 도선동(지하) 공영주차장(구): 79, 공유) 03-10(구): 176, 공유) 03-07(구): 211, 공유) 03-01(구): 232, 공유) 03-15(구): 262, 공유) 04-24(구): 333, 공유) 04-01(구): 406, 경진주차장: 418, 공유) 03-20(구): 421, 공유) 02-08(구): 433, 마장동(건물) 공영주차장(구): 549, 공유) 04-23(구): 564, 공유) 04-02(구): 577, 공유) 02-07(구): 593, 공유) 06-05(구): 648, 공유) 04-04(구): 656, 청계8가(남) 공영주차장(시): 684, 청계8가(북) 공영주차장(시): 760, 공유) 04-03(구): 761"
도선동(지하) 공영주차장(구),"공유) 03-06(구): 36, 공유) 03-14(구): 79, 공유) 03-07(구): 138, 공유) 03-10(구): 245, 공유) 03-15(구): 248, 공유) 03-01(구): 282, 공유) 04-24(구): 332, 경진주차장: 343, 공유) 03-20(구): 353, 공유) 02-08(구): 367, 공유) 04-01(구): 456, 공유) 06-22(구): 489, 공유) 02-07(구): 538, 공유) 06-05(구): 570, 마장동(건물) 공영주차장(구): 573, 공유) 04-23(구): 575, 공유) 04-02(구): 615, 청계8가(북) 공영주차장(시): 640, 공유) 02-06(구): 657, 하왕십리(건물) 공영주차장(구): 670, 공유) 04-04(구): 678, 청계8가(남) 공영주차장(시): 740"
로얄주차장(민영),"신당역 공영주차장(구): 155, 황학어린이공원 지하주차장(구): 344, 청계천두산위브더제니스상: 415, 신당사거리 공영주차장(구): 445, 청계8가 공영주차장(시): 557, 공유) 동화동 07(003~012구간)(구): 560, 청계8가(남) 공영주차장(시): 567, 동화동 공영주차장(구): 615, 청계7가 공영주차장(시): 624, 청계8가(북) 공영주차장(시): 632"
신당사거리 공영주차장(구),"청계천두산위브더제니스상: 188, 공유) 동화동 07(003~012구간)(구): 286, 황학어린이공원 지하주차장(구): 286, 신당역 공영주차장(구): 325, 신당동 공영주차장(구): 411, 경찰공제회 신당동 무궁화회관: 435, 로얄주차장(민영): 445, 동화동 공영주차장(구): 451, DDP동측(양쪽) 관광버스전용 주차장(시): 473, 동대문 공영주차장(시): 483, 청계6(청평화) 공영주차장(시): 522, 청계8가 공영주차장(시): 546, 청계6(북) 공영주차장(시): 565, 청계6(동평화) 공영주차장(시): 601, 청계7가 공영주차장(시): 620, 남평화시장(구): 643, 청계6(신평화시장앞) 공영주차장(시): 685"
